PartNumber,Category,Description, Price 
MS120-8-HW,Switches,Meraki MS120-8 1G L2 Cloud Managed 8x GigE Switch, 680.00 
MS120-8LP-HW,Switches,Meraki MS120-8LP 1G L2 Cloud Managed 8x GigE 64W PoE Switch, 895.00 
MS120-8FP-HW,Switches,Meraki MS120-8FP 1G L2 Cloud Managed 8x GigE 127W PoE Switch," 1,150.00 "
MS120-24-HW,Switches,Meraki MS120-24 1G L2 Cloud Managed 24x GigE Switch," 1,620.00 "
MS120-24P-HW,Switches,Meraki MS120-24P 1G L2 Cld -Mngd 24x GigE 370W PoE Switch," 2,515.00 "
MS120-48-HW,Switches,Meraki MS120-48 1G L2 Cloud Managed 48x GigE Switch," 2,900.00 "
MS120-48LP-HW,Switches,Meraki MS120-48LP 1G L2 Cld Managed 48x GigE 370W PoE Switch," 3,925.00 "
MS210-24-HW,Switches,Meraki MS210-24 1G L2 Cld-Mngd 24x GigE Switch," 2,985.00 "
MS210-24P-HW,Switches,Meraki MS210-24P 1G L2 Cld-Mngd 24x GigE 370W PoE Switch," 3,665.00 "
MS210-48-HW,Switches,Meraki MS210-48 1G L2 Cld-Mngd 48x GigE Switch," 4,520.00 "
MS210-48LP-HW,Switches,Meraki MS210-48LP 1G L2 Cld-Mngd 48x GigE 370W PoE Switch," 5,720.00 "
MS210-48FP-HW,Switches,Meraki MS210-48FP 1G L2 Cld-Mngd 48x GigE 740W PoE Switch," 6,570.00 "
MS220-8-HW,Switches,Meraki MS220-8 Cloud Managed 8 Port GigE Switch, 985.00 
MS220-8P-HW,Switches,Meraki MS220-8P L2 Cloud Managed 8 Port GigE 124W PoE Switch," 1,255.00 "
MS225-24-HW,Switches,Meraki MS225-24 L2 Stck Cld-Mngd 24x GigE Switch," 4,180.00 "
MS225-24P-HW,Switches,Meraki MS225-24P L2 Stck Cld-Mngd 24x GigE 370W PoE Switch," 4,865.00 "
MS225-48-HW,Switches,Meraki MS225-48 L2 Stck Cld-Mngd 48x GigE Switch," 5,720.00 "
MS225-48LP-HW,Switches,Meraki MS225-48LP L2 Stck Cld-Mngd 48x GigE 370W PoE Switch," 6,915.00 "
MS225-48FP-HW,Switches,Meraki MS225-48FP L2 Stck Cld-Mngd 48x GigE 740W PoE Switch," 7,770.00 "
MS250-24-HW,Switches,Meraki MS250-24 L3 Stck Cld-Mngd 24x GigE Switch," 5,975.00 "
MS250-24P-HW,Switches,Meraki MS250-24P L3 Stck Cld-Mngd 24x GigE 370W PoE Switch," 6,485.00 "
MS250-48-HW,Switches,Meraki MS250-48 L3 Stck Cld-Mngd 48x GigE Switch," 8,365.00 "
MS250-48LP-HW,Switches,Meraki MS250-48LP L3 Stck Cld-Mngd 48x GigE 370W PoE Switch," 9,565.00 "
MS250-48FP-HW,Switches,Meraki MS250-48FP L3 Stck Cld-Mngd 48x GigE 740W PoE Switch," 10,420.00 "
MS320-24-HW,Switches,EOS Meraki MS320-24 L3 Cloud Managed 24 Port GigE Switch," 4,515.00 "
MS350-24-HW,Switches,Meraki MS350-24 L3 Stck Cld-Mngd 24x GigE Switch," 5,675.00 "
MS350-24P-HW,Switches,Meraki MS350-24P L3 Stck Cld-Mngd 24x GigE 370W PoE Switch," 6,455.00 "
MS350-24X-HW,Switches,Meraki MS350-24X L3 Stck Cld-Mngd 24xGigE mGig UPOE Switch," 7,495.00 "
MS350-48-HW,Switches,Meraki MS350-48 L3 Stck Cld-Mngd 48x GigE Switch," 9,195.00 "
MS350-48LP-HW,Switches,Meraki MS350-48LP L3 Stck Cld-Mngd 48x GigE 370W PoE Switch," 10,665.00 "
MS350-48FP-HW,Switches,Meraki MS350-48FP L3 Stck Cld-Mngd 48x GigE 740W PoE Switch," 11,635.00 "
MS410-16-HW,Switches,Meraki MS410-16 Cld-Mngd 16x GigE SFP Switch," 8,500.00 "
